,Unnamed: 0.1,Unnamed: 0,b1,b2,theta_upper,theta_lower,fc,fd,pi,CC,DD,CD,DC,P1,P2,Mixed
311536,311536,311536.0,0.0,0.7,0.4,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
311734,311734,311734.0,0.0,0.75,0.5,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
311747,311747,311747.0,0.0,0.75,0.45,0.3,1,1,0.35,False,False,True,True,0.049,0.049,True
311759,311759,311759.0,0.0,0.75,0.4,0.35,1,1,0.35,False,False,True,True,0.052,0.052,True
311931,311931,311931.0,0.0,0.8,0.6,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
311932,311932,311932.0,0.0,0.8,0.65,0.2,1,1,0.35,False,False,True,True,0.012,0.012,True
311945,311945,311945.0,0.0,0.8,0.55,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
311958,311958,311958.0,0.0,0.8,0.5,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
311970,311970,311970.0,0.0,0.8,0.45,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
312079,312079,312079.0,0.0,0.85,1.0,0.0,1,1,0.35,False,False,True,True,0.005,0.005,True
312111,312111,312111.0,0.0,0.85,0.75,0.1,1,1,0.35,False,False,True,True,0.004,0.004,True
312127,312127,312127.0,0.0,0.85,0.7,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
312128,312128,312128.0,0.0,0.85,0.75,0.15,1,1,0.35,False,False,True,True,0.023,0.023,True
312142,312142,312142.0,0.0,0.85,0.65,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
312143,312143,312143.0,0.0,0.85,0.7,0.2,1,1,0.35,False,False,True,True,0.017,0.017,True
312156,312156,312156.0,0.0,0.85,0.6,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
312157,312157,312157.0,0.0,0.85,0.65,0.25,1,1,0.35,False,False,True,True,0.007,0.007,True
312169,312169,312169.0,0.0,0.85,0.55,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
312181,312181,312181.0,0.0,0.85,0.5,0.35,1,1,0.35,False,False,True,True,0.049,0.049,True
312192,312192,312192.0,0.0,0.85,0.45,0.4,1,1,0.35,False,False,True,True,0.052,0.052,True
312288,312288,312288.0,0.0,0.9,0.95,0.0,1,1,0.35,False,False,True,True,0.002,0.002,True
312289,312289,312289.0,0.0,0.9,1.0,0.0,1,1,0.35,False,False,True,True,0.02,0.02,True
312305,312305,312305.0,0.0,0.9,0.85,0.05,1,1,0.35,False,False,True,True,0.012,0.012,True
312322,312322,312322.0,0.0,0.9,0.8,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
312323,312323,312323.0,0.0,0.9,0.85,0.1,1,1,0.35,False,False,True,True,0.029,0.029,True
312324,312324,312324.0,0.0,0.9,0.9,0.1,1,1,0.35,False,False,True,True,0.007,0.007,True
312338,312338,312338.0,0.0,0.9,0.75,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
312339,312339,312339.0,0.0,0.9,0.8,0.15,1,1,0.35,False,False,True,True,0.025,0.025,True
312353,312353,312353.0,0.0,0.9,0.7,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
312354,312354,312354.0,0.0,0.9,0.75,0.2,1,1,0.35,False,False,True,True,0.02,0.02,True
312367,312367,312367.0,0.0,0.9,0.65,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
312368,312368,312368.0,0.0,0.9,0.7,0.25,1,1,0.35,False,False,True,True,0.012,0.012,True
312380,312380,312380.0,0.0,0.9,0.6,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
312392,312392,312392.0,0.0,0.9,0.55,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
312403,312403,312403.0,0.0,0.9,0.5,0.4,1,1,0.35,False,False,True,True,0.05,0.05,True
312498,312498,312498.0,0.0,0.95,0.95,0.0,1,1,0.35,False,False,True,True,0.018,0.018,True
312499,312499,312499.0,0.0,0.95,1.0,0.0,1,1,0.35,False,False,True,True,0.035,0.035,True
312515,312515,312515.0,0.0,0.95,0.85,0.05,1,1,0.35,False,False,True,True,0.01,0.01,True
312516,312516,312516.0,0.0,0.95,0.9,0.05,1,1,0.35,False,False,True,True,0.05,0.05,True
312517,312517,312517.0,0.0,0.95,0.95,0.05,1,1,0.35,False,False,True,True,0.032,0.032,True
312518,312518,312518.0,0.0,0.95,1.0,0.05,1,1,0.35,False,False,True,True,0.015,0.015,True
312532,312532,312532.0,0.0,0.95,0.8,0.1,1,1,0.35,False,False,True,True,0.004,0.004,True
312533,312533,312533.0,0.0,0.95,0.85,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
312534,312534,312534.0,0.0,0.95,0.9,0.1,1,1,0.35,False,False,True,True,0.03,0.03,True
312535,312535,312535.0,0.0,0.95,0.95,0.1,1,1,0.35,False,False,True,True,0.01,0.01,True
312549,312549,312549.0,0.0,0.95,0.8,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
312550,312550,312550.0,0.0,0.95,0.85,0.15,1,1,0.35,False,False,True,True,0.027,0.027,True
312551,312551,312551.0,0.0,0.95,0.9,0.15,1,1,0.35,False,False,True,True,0.004,0.004,True
312564,312564,312564.0,0.0,0.95,0.75,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
312565,312565,312565.0,0.0,0.95,0.8,0.2,1,1,0.35,False,False,True,True,0.022,0.022,True
312578,312578,312578.0,0.0,0.95,0.7,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
312579,312579,312579.0,0.0,0.95,0.75,0.25,1,1,0.35,False,False,True,True,0.017,0.017,True
312591,312591,312591.0,0.0,0.95,0.65,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
312592,312592,312592.0,0.0,0.95,0.7,0.3,1,1,0.35,False,False,True,True,0.007,0.007,True
312603,312603,312603.0,0.0,0.95,0.6,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
312614,312614,312614.0,0.0,0.95,0.55,0.4,1,1,0.35,False,False,True,True,0.051,0.051,True
312624,312624,312624.0,0.0,0.95,0.5,0.45,1,1,0.35,False,False,True,True,0.052,0.052,True
312708,312708,312708.0,0.0,1.0,0.95,0.0,1,1,0.35,False,False,True,True,0.017,0.017,True
312709,312709,312709.0,0.0,1.0,1.0,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
312726,312726,312726.0,0.0,1.0,0.9,0.05,1,1,0.35,False,False,True,True,0.012,0.012,True
312727,312727,312727.0,0.0,1.0,0.95,0.05,1,1,0.35,False,False,True,True,0.05,0.05,True
312728,312728,312728.0,0.0,1.0,1.0,0.05,1,1,0.35,False,False,True,True,0.033,0.033,True
312743,312743,312743.0,0.0,1.0,0.85,0.1,1,1,0.35,False,False,True,True,0.007,0.007,True
312744,312744,312744.0,0.0,1.0,0.9,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
312745,312745,312745.0,0.0,1.0,0.95,0.1,1,1,0.35,False,False,True,True,0.031,0.031,True
312746,312746,312746.0,0.0,1.0,1.0,0.1,1,1,0.35,False,False,True,True,0.012,0.012,True
312760,312760,312760.0,0.0,1.0,0.85,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
312761,312761,312761.0,0.0,1.0,0.9,0.15,1,1,0.35,False,False,True,True,0.029,0.029,True
312762,312762,312762.0,0.0,1.0,0.95,0.15,1,1,0.35,False,False,True,True,0.007,0.007,True
312775,312775,312775.0,0.0,1.0,0.8,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
312776,312776,312776.0,0.0,1.0,0.85,0.2,1,1,0.35,False,False,True,True,0.025,0.025,True
312789,312789,312789.0,0.0,1.0,0.75,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
312790,312790,312790.0,0.0,1.0,0.8,0.25,1,1,0.35,False,False,True,True,0.02,0.02,True
312802,312802,312802.0,0.0,1.0,0.7,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
312803,312803,312803.0,0.0,1.0,0.75,0.3,1,1,0.35,False,False,True,True,0.012,0.012,True
312814,312814,312814.0,0.0,1.0,0.65,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
312825,312825,312825.0,0.0,1.0,0.6,0.4,1,1,0.35,False,False,True,True,0.05,0.05,True
312835,312835,312835.0,0.0,1.0,0.55,0.45,1,1,0.35,False,False,True,True,0.05,0.05,True
315525,315525,315525.0,0.05,0.7,0.35,0.3,1,1,0.35,False,False,True,True,0.052,0.052,True
315723,315723,315723.0,0.05,0.75,0.45,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
315736,315736,315736.0,0.05,0.75,0.4,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
315859,315859,315859.0,0.05,0.8,1.0,0.0,1,1,0.35,False,False,True,True,0.005,0.005,True
315920,315920,315920.0,0.05,0.8,0.55,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
315921,315921,315921.0,0.05,0.8,0.6,0.2,1,1,0.35,False,False,True,True,0.007,0.007,True
315934,315934,315934.0,0.05,0.8,0.5,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
315947,315947,315947.0,0.05,0.8,0.45,0.3,1,1,0.35,False,False,True,True,0.049,0.049,True
315959,315959,315959.0,0.05,0.8,0.4,0.35,1,1,0.35,False,False,True,True,0.052,0.052,True
316068,316068,316068.0,0.05,0.85,0.95,0.0,1,1,0.35,False,False,True,True,0.002,0.002,True
316069,316069,316069.0,0.05,0.85,1.0,0.0,1,1,0.35,False,False,True,True,0.02,0.02,True
316116,316116,316116.0,0.05,0.85,0.65,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
316117,316117,316117.0,0.05,0.85,0.7,0.15,1,1,0.35,False,False,True,True,0.02,0.02,True
316131,316131,316131.0,0.05,0.85,0.6,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
316132,316132,316132.0,0.05,0.85,0.65,0.2,1,1,0.35,False,False,True,True,0.012,0.012,True
316145,316145,316145.0,0.05,0.85,0.55,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
316158,316158,316158.0,0.05,0.85,0.5,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
316170,316170,316170.0,0.05,0.85,0.45,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
316278,316278,316278.0,0.05,0.9,0.95,0.0,1,1,0.35,False,False,True,True,0.018,0.018,True
316279,316279,316279.0,0.05,0.9,1.0,0.0,1,1,0.35,False,False,True,True,0.035,0.035,True
316294,316294,316294.0,0.05,0.9,0.8,0.05,1,1,0.35,False,False,True,True,0.01,0.01,True
316311,316311,316311.0,0.05,0.9,0.75,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
316312,316312,316312.0,0.05,0.9,0.8,0.1,1,1,0.35,False,False,True,True,0.027,0.027,True
316313,316313,316313.0,0.05,0.9,0.85,0.1,1,1,0.35,False,False,True,True,0.004,0.004,True
316327,316327,316327.0,0.05,0.9,0.7,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
316328,316328,316328.0,0.05,0.9,0.75,0.15,1,1,0.35,False,False,True,True,0.022,0.022,True
316342,316342,316342.0,0.05,0.9,0.65,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
316343,316343,316343.0,0.05,0.9,0.7,0.2,1,1,0.35,False,False,True,True,0.017,0.017,True
316356,316356,316356.0,0.05,0.9,0.6,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
316357,316357,316357.0,0.05,0.9,0.65,0.25,1,1,0.35,False,False,True,True,0.007,0.007,True
316369,316369,316369.0,0.05,0.9,0.55,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
316381,316381,316381.0,0.05,0.9,0.5,0.35,1,1,0.35,False,False,True,True,0.051,0.051,True
316392,316392,316392.0,0.05,0.9,0.45,0.4,1,1,0.35,False,False,True,True,0.052,0.052,True
316487,316487,316487.0,0.05,0.95,0.9,0.0,1,1,0.35,False,False,True,True,0.017,0.017,True
316488,316488,316488.0,0.05,0.95,0.95,0.0,1,1,0.35,False,False,True,True,0.034,0.034,True
316489,316489,316489.0,0.05,0.95,1.0,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
316504,316504,316504.0,0.05,0.95,0.8,0.05,1,1,0.35,False,False,True,True,0.007,0.007,True
316505,316505,316505.0,0.05,0.95,0.85,0.05,1,1,0.35,False,False,True,True,0.05,0.05,True
316506,316506,316506.0,0.05,0.95,0.9,0.05,1,1,0.35,False,False,True,True,0.031,0.031,True
316507,316507,316507.0,0.05,0.95,0.95,0.05,1,1,0.35,False,False,True,True,0.012,0.012,True
316522,316522,316522.0,0.05,0.95,0.8,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
316523,316523,316523.0,0.05,0.95,0.85,0.1,1,1,0.35,False,False,True,True,0.029,0.029,True
316524,316524,316524.0,0.05,0.95,0.9,0.1,1,1,0.35,False,False,True,True,0.007,0.007,True
316538,316538,316538.0,0.05,0.95,0.75,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
316539,316539,316539.0,0.05,0.95,0.8,0.15,1,1,0.35,False,False,True,True,0.025,0.025,True
